county,countyfp,lon,lat,ave_death_2004,smat_2004,ave_death_2005,smat_2005,ave_death_2006,smat_2006,ave_death_2007,smat_2007,ave_death_2008,smat_2008,ave_death_2009,smat_2009,ave_death_2010,smat_2010,ave_death_2011,smat_2011,ave_death_2012,smat_2012,ave_death_2013,smat_2013,ave_death_2014,smat_2014,ave_death_2015,smat_2015,ave_death_2016,smat_2016
Taylor County,217,-85.32794,37.36647,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,0
Todd County,219,-87.17924,36.83568,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0
Trigg County,221,-87.87335,36.80636,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0
Trimble County,223,-85.33749,38.61303,4.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,14.95,0,16.95,0,18.95,0,20.95,0
Union County,225,-87.94534,37.65846,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0,22.95,0,24.95,1,26.95,0,28.95,0,30,0
Warren County,227,-86.42381,36.99357,6.95,1,6.95,1,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,1,10.95,1,10.95,2,12.95,1,12.95,1
Washington County,229,-85.17477,37.75337,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,1,14.95,2
Wayne County,231,-84.82862,36.80128,8.95,0,8.95,0,10.95,0,10.95,0,10.95,1,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0
Webster County,233,-87.68316,37.51844,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,12.95,0,14.95,0,14.95,0,16.95,1,16.95,0,18.95,0,20.95,0
Whitley County,235,-84.14518,36.75809,18.95,1,20.95,1,20.95,1,22.95,2,24.95,2,24.95,2,26.95,2,28.95,1,30,1,30,1,30,0,30,1,30,2
Wolfe County,237,-83.49316,37.73932,24.95,0,26.95,0,28.95,0,30,1,30,1,30,1,30,0,30,0,30,0,30,1,30,0,30,0,30,0
Woodford County,239,-84.74358,38.04238,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,18.95,0,20.95,0,22.95,0
Adams County,001,-85.28063,37.10417,12.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,24.95,1,26.95,2,28.95,2
Allen County,003,-84.10579,40.77154,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0
Ashland County,005,-82.27069,40.84601,4.95,0,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,1,6.95,1,8.95,1,8.95,0,8.95,0,10.95,0,10.95,0
Ashtabula County,007,-80.7483,41.70755,8.95,0,8.95,0,8.95,0,8.95,1,10.95,1,10.95,1,10.95,1,12.95,2,12.95,2,14.95,2,14.95,2,14.95,2,16.95,2
Athens County,009,-85.93366,36.96558,10.95,0,10.95,0,10.95,0,12.95,1,12.95,0,14.95,0,14.95,0,14.95,0,16.95,0,16.95,0,18.95,1,20.95,1,20.95,1
Auglaize County,011,-84.22173,40.56092,4.95,0,4.95,0,4.95,0,6.95,0,6.95,0,6.95,0,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0
Belmont County,013,-81.11758,38.84453,6.95,0,8.95,0,8.95,0,8.95,0,10.95,0,10.95,0,10.95,0,12.95,0,12.95,0,14.95,0,14.95,0,14.95,0,16.95,0
Brown County,015,-83.86743,38.93401,14.95,0,14.95,0,16.95,0,16.95,0,18.95,0,20.95,0,20.95,0,22.95,0,24.95,0,26.95,1,26.95,1,28.95,1,30,1
